hotel_id,hotel_name,location,star_rating,user_rating,number_of_reviews,price_per_night,is_luxury,has_wifi,has_breakfast_included,has_free_ca        ncellation,distance_from_city_center,room_availability,booking_count_last_month,cancellation_rate,amenities_score,total_bookings
H12668,Hotel Royal,Swayambhu,2,8.5,1617,21064,FALSE,FALSE,TRUE,TRUE,3.14,32,386,0.39,2,15440
H12669,Hotel Annapurna,Thamel,5,7.8,537,15015,FALSE,TRUE,TRUE,TRUE,3,26,28,0.31,3,1288
H12670,Hotel Annapurna,Gongabu,3,5.5,1583,20666,FALSE,TRUE,TRUE,TRUE,4.34,29,495,0.34,3,22770
H12671,Hotel Himalaya,Gongabu,2,5.9,1722,3696,FALSE,TRUE,TRUE,TRUE,1.42,27,374,0.07,3,4488
H12672,Hotel Valley,Bhaktapur,2,5.2,454,13626,FALSE,TRUE,TRUE,TRUE,8.07,39,450,0.04,3,18900
H12673,Hotel Boutique,Baluwatar,5,8.9,1354,15519,FALSE,TRUE,TRUE,TRUE,11.3,50,442,0.49,3,9282
H12674,Hotel Everest,Teku,3,7.6,1927,21535,TRUE,TRUE,FALSE,TRUE,7.74,17,29,0.19,2,1189
H12675,Hotel Boutique,Thamel,5,6.5,1116,16314,FALSE,TRUE,TRUE,TRUE,6.45,58,5,0.04,3,205
H12676,Hotel Annapurna,Jamal,4,5.6,1467,13025,FALSE,TRUE,FALSE,TRUE,6.09,57,62,0.09,2,1860
H12677,Hotel Heritage,Maharajgunj,2,7.3,26,2305,FALSE,TRUE,TRUE,TRUE,7.15,51,584,0.44,3,30368
H12678,Hotel Durbar,Lazimpat,5,7.5,378,14439,FALSE,TRUE,TRUE,TRUE,8.56,9,424,0.11,3,8056
H12679,Hotel Sagarmatha,Durbar Marg,2,8.4,1701,1716,FALSE,TRUE,TRUE,TRUE,9.56,39,506,0.24,3,26818
H12680,Hotel Annapurna,Swayambhu,3,9.7,693,23229,TRUE,TRUE,FALSE,TRUE,8.41,12,279,0.34,2,13950
H12681,Hotel Royal,Teku,1,7.1,917,6758,FALSE,TRUE,FALSE,TRUE,8.49,36,205,0.48,2,10455
H12682,Hotel Boutique,Boudha,5,6.9,1615,21039,FALSE,TRUE,FALSE,TRUE,11.43,42,174,0.02,2,6090
H12683,Hotel Heritage,Kirtipur,5,6.8,592,23743,FALSE,TRUE,TRUE,TRUE,10.8,54,301,0.25,3,6622
H12684,Hotel Sagarmatha,Durbar Marg,2,9,264,12183,FALSE,TRUE,TRUE,TRUE,9.9,39,24,0.5,3,432
H12685,Hotel Himalaya,Bhaktapur,3,5.8,465,9505,FALSE,TRUE,TRUE,TRUE,0.62,50,461,0.07,3,19362
H12686,Hotel Himalaya,Koteshwor,4,6.7,652,3280,FALSE,TRUE,TRUE,TRUE,8.06,22,497,0.07,3,19880
H12687,Hotel Annapurna,Lazimpat,3,8.5,570,16080,TRUE,TRUE,TRUE,TRUE,5.51,54,445,0.05,3,9345
H12688,Hotel Himalaya,Kirtipur,5,5.1,542,20006,FALSE,TRUE,TRUE,TRUE,7.45,56,232,0.26,3,7424
H12689,Hotel Boutique,Swayambhu,4,6.4,1425,10079,FALSE,TRUE,TRUE,TRUE,8.27,18,558,0.18,3,18972
H12690,Hotel Royal,Teku,3,8.1,329,21726,FALSE,TRUE,TRUE,FALSE,8.6,53,584,0.36,2,22192
H12691,Hotel Durbar,Maharajgunj,1,5.9,229,19873,FALSE,TRUE,TRUE,TRUE,10.45,22,527,0.29,3,22134
H12692,Hotel Royal,Bhaktapur,2,6.5,708,19306,TRUE,TRUE,TRUE,TRUE,10.93,40,558,0.29,3,15066
H12693,Hotel Durbar,Thamel,3,7.3,1447,7278,TRUE,FALSE,TRUE,TRUE,7.32,15,497,0.26,2,24850
H12694,Hotel Annapurna,Baneshwor,3,7,41,5029,FALSE,TRUE,TRUE,TRUE,10.74,11,380,0.5,3,20140
H12695,Hotel Sagarmatha,Kirtipur,1,5.5,724,4063,TRUE,TRUE,TRUE,TRUE,9.2,35,265,0.27,3,5565
H12696,Hotel Kathmandu,Sankhamul,5,9.5,1821,14313,FALSE,TRUE,TRUE,TRUE,2.51,3,495,0.05,3,22275
H12697,Hotel Himalaya,Baluwatar,2,5.2,763,9352,FALSE,TRUE,TRUE,TRUE,0.52,11,234,0.17,3,3042
H12698,Hotel Sagarmatha,Patan,3,8.6,1049,11379,FALSE,FALSE,TRUE,TRUE,0.22,26,190,0.39,2,4180
H12699,Hotel Valley,Gongabu,4,5.3,418,11543,FALSE,TRUE,TRUE,TRUE,7.08,13,233,0.32,3,9320
H12700,Hotel Boutique,Koteshwor,3,7.2,837,4892,TRUE,TRUE,TRUE,TRUE,6.31,15,367,0.35,3,11377
H12701,Hotel Boutique,Durbar Marg,2,5.8,182,19121,FALSE,TRUE,TRUE,TRUE,8.39,52,335,0.46,3,18425
H12702,Hotel Boutique,Koteshwor,3,5.7,1682,21604,FALSE,TRUE,FALSE,TRUE,10.13,28,68,0.23,2,3128
H12703,Hotel Kathmandu,Durbar Marg,1,5.6,1212,24464,FALSE,TRUE,TRUE,TRUE,2.06,57,386,0.02,3,18528
H12704,Hotel Everest,Patan,3,7.2,1904,10562,FALSE,TRUE,FALSE,TRUE,10.29,11,390,0.5,2,15210
H12705,Hotel Kathmandu,Durbar Marg,3,7.5,1606,4395,TRUE,TRUE,TRUE,TRUE,1.27,52,438,0.23,3,18834
H12706,Hotel Sagarmatha,Bhaktapur,4,5.6,1530,17359,TRUE,TRUE,TRUE,TRUE,10.61,14,250,0.06,3,10000
H12707,Hotel Valley,Durbar Marg,1,9.7,945,3454,FALSE,TRUE,FALSE,TRUE,10.22,0,269,0.28,2,4035
H12708,Hotel Boutique,Bhaktapur,1,6.2,1137,16828,FALSE,TRUE,TRUE,TRUE,8.39,27,433,0.3,3,15155
H12709,Hotel Valley,Gongabu,3,7.2,1350,5957,TRUE,TRUE,TRUE,TRUE,3.67,7,331,0.29,3,19198
H12710,Hotel Sagarmatha,Thamel,4,6,716,19671,FALSE,TRUE,TRUE,TRUE,1.21,31,124,0.48,3,6696
H12711,Hotel Royal,Bhaktapur,3,7.4,1801,7292,FALSE,TRUE,TRUE,FALSE,9.36,55,515,0.17,2,11330
H12712,Hotel Kathmandu,Thamel,3,8.6,985,9696,FALSE,TRUE,TRUE,TRUE,2.69,24,520,0.03,3,19760
H12713,Hotel Everest,Swayambhu,2,7.5,1621,12959,TRUE,TRUE,FALSE,FALSE,5.35,34,193,0.46,1,11387
H12714,Hotel Sagarmatha,Baluwatar,2,6.4,792,13812,FALSE,TRUE,TRUE,TRUE,6.42,11,244,0.1,3,8540
H12715,Hotel Heritage,Koteshwor,4,6.2,1214,10595,FALSE,TRUE,TRUE,TRUE,8.26,59,326,0.38,3,15648
H12716,Hotel Royal,Durbar Marg,5,8.6,141,10959,FALSE,TRUE,TRUE,TRUE,5.9,5,91,0.11,3,2821
H12717,Hotel Himalaya,Kalanki,2,5.6,672,21117,TRUE,TRUE,TRUE,TRUE,8.36,30,373,0.42,3,4849
H12718,Hotel Sagarmatha,Baneshwor,5,6.8,1188,16383,FALSE,TRUE,TRUE,TRUE,9.79,58,329,0.45,3,14476
H12719,Hotel Heritage,Swayambhu,1,5.7,368,9892,FALSE,TRUE,TRUE,TRUE,8.59,57,420,0.06,3,5880
H12720,Hotel Boutique,Boudha,2,6.2,1268,22497,FALSE,FALSE,TRUE,TRUE,3.66,8,279,0.08,2,10323
H12721,Hotel Himalaya,Baneshwor,2,5.7,769,20389,FALSE,TRUE,TRUE,TRUE,10.74,51,291,0.46,3,8730
H12722,Hotel Valley,Lazimpat,4,9.3,174,22174,TRUE,TRUE,FALSE,TRUE,6.65,24,8,0.39,2,144
H12723,Hotel Everest,Jamal,5,8.5,726,13313,FALSE,TRUE,TRUE,TRUE,5.64,53,36,0.03,3,684
H12724,Hotel Durbar,Baneshwor,2,7.7,436,1010,FALSE,TRUE,TRUE,TRUE,6.94,19,357,0.1,3,17493
H12725,Hotel Durbar,Bhaktapur,2,6.1,686,14095,TRUE,FALSE,TRUE,TRUE,5.85,37,10,0.21,2,420
H12726,Hotel Annapurna,Kirtipur,4,7.4,497,6221,FALSE,TRUE,TRUE,TRUE,9.09,14,358,0.43,3,17542
H12727,Hotel Royal,Boudha,4,7.5,222,16471,FALSE,TRUE,TRUE,FALSE,5.11,53,55,0.08,2,2860
H12728,Hotel Boutique,Gongabu,5,7.8,1958,4677,FALSE,TRUE,TRUE,TRUE,9.34,35,531,0.36,3,7434
H12729,Hotel Royal,Maharajgunj,1,5.3,775,12011,FALSE,TRUE,FALSE,TRUE,9.15,25,544,0.05,2,9792
H12730,Hotel Durbar,Kalanki,1,9.7,166,16105,TRUE,TRUE,TRUE,TRUE,3.39,36,84,0.24,3,2184
H12731,Hotel Valley,Swayambhu,3,7.2,1722,8334,FALSE,TRUE,TRUE,TRUE,1.24,48,25,0.37,3,1050
H12732,Hotel Annapurna,Kirtipur,2,9.4,1108,12984,FALSE,TRUE,TRUE,TRUE,10.23,40,101,0.04,3,2626
H12733,Hotel Heritage,Swayambhu,5,5,444,6164,TRUE,TRUE,TRUE,TRUE,2.11,10,413,0.11,3,6195
H12734,Hotel Himalaya,Bhaktapur,2,6.2,1211,10033,FALSE,TRUE,TRUE,TRUE,0.47,26,151,0.4,3,5436
H12735,Hotel Everest,Baneshwor,5,5.5,1829,24244,FALSE,TRUE,TRUE,TRUE,4.89,38,408,0.09,3,14688
H12736,Hotel Boutique,Kirtipur,5,8.7,851,15889,TRUE,TRUE,FALSE,TRUE,3.12,20,98,0.34,2,5390
H12737,Hotel Himalaya,Koteshwor,5,6.5,654,1284,FALSE,TRUE,TRUE,FALSE,2.72,52,430,0.32,2,9890
H12738,Hotel Everest,Kirtipur,2,9,1670,7543,FALSE,TRUE,TRUE,TRUE,2.15,5,371,0.26,3,5194
H12739,Hotel Kathmandu,Durbar Marg,4,9,321,6570,FALSE,TRUE,TRUE,TRUE,9.02,10,381,0.11,3,9906
H12740,Hotel Sagarmatha,Chabahil,2,8.2,1865,23115,FALSE,TRUE,FALSE,TRUE,9.42,45,408,0.21,2,5304
H12741,Hotel Everest,Baluwatar,5,8.2,136,24995,FALSE,FALSE,TRUE,TRUE,0.65,30,429,0.31,2,21450
H12742,Hotel Everest,Baluwatar,3,8.4,386,19819,TRUE,TRUE,TRUE,TRUE,6.61,55,376,0.44,3,6016
H12743,Hotel Royal,Baluwatar,1,8.2,1378,8523,FALSE,TRUE,TRUE,TRUE,1.71,10,561,0.4,3,25806
H12744,Hotel Valley,Teku,5,6.9,234,12023,FALSE,TRUE,TRUE,TRUE,6.04,50,425,0.31,3,9775
H12745,Hotel Kathmandu,Koteshwor,3,8.3,1050,13712,FALSE,FALSE,TRUE,TRUE,4.24,44,159,0.12,2,3498
H12746,Hotel Valley,Bhaktapur,4,9.3,506,2029,FALSE,TRUE,FALSE,TRUE,2.5,7,218,0.12,2,8284
H12747,Hotel Royal,Lazimpat,5,6.6,482,23968,FALSE,TRUE,TRUE,TRUE,11.38,18,524,0.41,3,30392
H12748,Hotel Royal,Jamal,3,9.5,1898,21835,FALSE,TRUE,TRUE,TRUE,11.49,31,581,0.34,3,24983
H12749,Hotel Royal,Boudha,5,5.1,1344,20350,FALSE,TRUE,TRUE,TRUE,6.81,25,420,0.19,3,18060
H12750,Hotel Himalaya,Sankhamul,2,6.7,1791,8755,FALSE,TRUE,TRUE,TRUE,2.34,45,306,0.49,3,14382
H12751,Hotel Valley,Swayambhu,3,5.6,1170,1553,FALSE,TRUE,TRUE,TRUE,7.04,36,582,0.45,3,27936
H12752,Hotel Valley,Maharajgunj,2,5.6,484,17651,FALSE,FALSE,TRUE,TRUE,11.15,42,552,0.34,2,31464
H12753,Hotel Boutique,Baluwatar,2,8.9,226,15203,FALSE,TRUE,FALSE,TRUE,4.6,52,434,0.19,2,14756
H12754,Hotel Annapurna,Baneshwor,3,9.4,205,24519,FALSE,TRUE,TRUE,TRUE,1.74,33,410,0.16,3,18040
H12755,Hotel Kathmandu,Swayambhu,1,8.7,210,2240,FALSE,TRUE,TRUE,TRUE,8.35,46,404,0.47,3,11716
H12756,Hotel Himalaya,Gongabu,3,9.7,375,5159,FALSE,TRUE,TRUE,TRUE,7.91,15,385,0.23,3,15400
H12757,Hotel Kathmandu,Teku,1,6,728,19873,FALSE,TRUE,TRUE,FALSE,0.12,32,116,0.4,2,6380
H12758,Hotel Himalaya,Sankhamul,5,5.7,1561,11780,FALSE,TRUE,TRUE,TRUE,10.26,34,32,0.47,3,1696
H12759,Hotel Valley,Kirtipur,5,7.5,409,22778,FALSE,TRUE,TRUE,TRUE,7.96,9,121,0.25,3,4114
H12760,Hotel Sagarmatha,Durbar Marg,3,9,1558,9661,FALSE,TRUE,TRUE,TRUE,2.43,35,436,0.33,3,16568
H12761,Hotel Annapurna,Teku,5,5.2,599,4287,TRUE,TRUE,TRUE,TRUE,0.14,22,468,0.05,3,27612
H12762,Hotel Valley,Swayambhu,4,9.8,223,19403,TRUE,TRUE,TRUE,TRUE,11.67,54,221,0.33,3,13039
H12763,Hotel Durbar,Kirtipur,2,7.9,350,11215,FALSE,TRUE,TRUE,TRUE,9.08,47,208,0.12,3,11440
H12764,Hotel Royal,Swayambhu,2,9.7,1362,10781,TRUE,TRUE,TRUE,TRUE,4.44,40,254,0.34,3,10922
H12765,Hotel Boutique,Koteshwor,1,6.8,968,16951,TRUE,TRUE,FALSE,TRUE,5.25,3,190,0.06,2,3610
H12766,Hotel Himalaya,Kirtipur,5,7.2,128,6313,FALSE,TRUE,TRUE,TRUE,6.51,18,52,0.25,3,1456
H12767,Hotel Kathmandu,Lazimpat,1,8.6,1458,16047,FALSE,TRUE,FALSE,TRUE,8.65,59,557,0.27,2,26736
H12768,Hotel Royal,Patan,2,8.8,1726,11252,FALSE,TRUE,TRUE,TRUE,2.16,18,311,0.25,3,6220
H12769,Hotel Sagarmatha,Teku,2,6.1,845,5317,FALSE,TRUE,TRUE,TRUE,2.43,41,488,0.38,3,23912
H12770,Hotel Everest,Bhaktapur,5,9.5,851,23208,TRUE,TRUE,FALSE,FALSE,0.67,41,309,0.38,1,15141
H12771,Hotel Sagarmatha,Chabahil,4,9.2,876,10611,FALSE,TRUE,TRUE,TRUE,11.83,13,62,0.36,3,2790
H12772,Hotel Himalaya,Boudha,4,5.1,1406,1838,FALSE,TRUE,FALSE,TRUE,10.52,32,123,0.32,2,3936
H12773,Hotel Royal,Koteshwor,5,5.6,1682,9461,TRUE,TRUE,TRUE,TRUE,6.68,47,220,0.45,3,11660
H12774,Hotel Himalaya,Gongabu,5,7.4,1212,14922,FALSE,TRUE,TRUE,TRUE,5.22,53,539,0.29,3,25333
H12775,Hotel Heritage,Baluwatar,1,7.2,1465,5827,TRUE,TRUE,TRUE,TRUE,2.93,51,200,0.18,3,6800
H12776,Hotel Boutique,Jamal,5,8.4,1753,24371,FALSE,FALSE,TRUE,TRUE,7.18,36,543,0.04,2,28779
H12777,Hotel Boutique,Lazimpat,4,5.4,954,13903,FALSE,TRUE,FALSE,TRUE,8.32,45,162,0.27,2,9396
H12778,Hotel Everest,Gongabu,5,8.1,411,20887,TRUE,TRUE,TRUE,TRUE,8.3,17,378,0.12,3,20412
H12779,Hotel Kathmandu,Patan,1,8,1427,15400,FALSE,TRUE,TRUE,TRUE,0.18,7,580,0.2,3,17400
H12780,Hotel Annapurna,Baluwatar,1,6.1,892,3075,FALSE,TRUE,TRUE,TRUE,8.45,9,154,0.03,3,7238
H12781,Hotel Himalaya,Thamel,1,7.6,575,18696,FALSE,TRUE,TRUE,TRUE,10.41,30,282,0.32,3,10152
H12782,Hotel Everest,Bhaktapur,1,6.1,1112,17279,FALSE,TRUE,TRUE,TRUE,1.47,34,67,0.44,3,737
H12783,Hotel Annapurna,Maharajgunj,3,5.7,1816,15190,TRUE,TRUE,TRUE,TRUE,9.09,54,412,0.17,3,6180
H12784,Hotel Everest,Chabahil,5,7.8,1940,19668,FALSE,TRUE,TRUE,FALSE,9.9,24,182,0.4,2,8008
H12785,Hotel Annapurna,Gongabu,2,9.7,433,16084,FALSE,TRUE,TRUE,TRUE,3.39,24,229,0.07,3,4122
H12786,Hotel Heritage,Gongabu,5,6.1,127,13533,FALSE,TRUE,FALSE,TRUE,8.57,39,418,0.36,2,12122
H12787,Hotel Durbar,Patan,3,6.7,377,15723,FALSE,TRUE,TRUE,TRUE,1.25,46,90,0.05,3,3780
H12788,Hotel Valley,Bhaktapur,1,6.2,1139,16264,FALSE,TRUE,TRUE,TRUE,7.83,45,395,0.14,3,22120
H12789,Hotel Valley,Baluwatar,3,6.3,1138,17246,TRUE,TRUE,TRUE,TRUE,6.17,2,446,0.19,3,16948
H12790,Hotel Kathmandu,Baneshwor,4,6.9,1336,15601,FALSE,TRUE,TRUE,TRUE,10.21,14,461,0.09,3,16596
H12791,Hotel Annapurna,Bhaktapur,4,8.4,639,20192,FALSE,TRUE,TRUE,TRUE,5.48,31,164,0.1,3,1640
H12792,Hotel Durbar,Koteshwor,5,5.2,1927,9995,FALSE,TRUE,TRUE,TRUE,5.19,20,213,0.35,3,4686
H12793,Hotel Annapurna,Sankhamul,5,9.6,1774,15563,FALSE,TRUE,TRUE,TRUE,11.21,57,414,0.06,3,4968
H12794,Hotel Kathmandu,Bhaktapur,2,5.2,157,12934,FALSE,TRUE,TRUE,FALSE,11.22,32,41,0.47,2,410
H12795,Hotel Himalaya,Thamel,2,9.2,1899,13675,TRUE,TRUE,TRUE,TRUE,0.52,38,168,0.39,3,4872
H12796,Hotel Everest,Koteshwor,4,9.3,159,7521,FALSE,TRUE,TRUE,TRUE,5.88,26,475,0.18,3,23275
H12797,Hotel Durbar,Koteshwor,1,7.5,825,7355,FALSE,TRUE,TRUE,TRUE,2.02,13,393,0.32,3,13755
H12798,Hotel Royal,Maharajgunj,3,5.7,265,21103,TRUE,TRUE,FALSE,TRUE,3.36,35,516,0.36,2,10836
H12799,Hotel Kathmandu,Jamal,2,7.7,91,5771,TRUE,TRUE,TRUE,TRUE,8.03,45,577,0.3,3,8655
H12800,Hotel Valley,Chabahil,2,8,25,3696,FALSE,FALSE,TRUE,TRUE,1.64,40,144,0.31,2,8496
H12801,Hotel Himalaya,Kalanki,1,9.1,910,13458,FALSE,TRUE,TRUE,TRUE,0.23,9,24,0.46,3,432
H12802,Hotel Kathmandu,Kirtipur,1,7.6,202,14463,FALSE,TRUE,TRUE,TRUE,8.75,23,272,0.44,3,12240
H12803,Hotel Boutique,Baluwatar,5,7,732,6796,TRUE,TRUE,FALSE,TRUE,7.73,9,110,0.46,2,3190
H12804,Hotel Himalaya,Gongabu,3,9,1107,1808,FALSE,TRUE,TRUE,TRUE,10.84,30,477,0.44,3,9063
H12805,Hotel Heritage,Chabahil,1,9.7,1310,11343,FALSE,TRUE,TRUE,TRUE,6.55,38,376,0.35,3,7144
H12806,Hotel Heritage,Jamal,2,8.1,1094,4293,FALSE,TRUE,FALSE,TRUE,11.35,46,280,0.25,2,11200
H12807,Hotel Valley,Baneshwor,2,9.2,982,10497,FALSE,TRUE,TRUE,TRUE,7.35,57,477,0.25,3,13833
H12808,Hotel Durbar,Lazimpat,4,7.9,960,4459,FALSE,TRUE,TRUE,TRUE,4.71,27,244,0.39,3,8296
H12809,Hotel Everest,Kalanki,1,8.3,545,19803,FALSE,TRUE,TRUE,TRUE,7.34,3,563,0.46,3,30402
H12810,Hotel Heritage,Teku,5,8.3,1568,5224,FALSE,TRUE,TRUE,TRUE,9.02,49,354,0.05,3,14160
H12811,Hotel Boutique,Patan,3,8.4,352,8571,FALSE,TRUE,TRUE,TRUE,4.24,47,12,0.44,3,672
H12812,Hotel Annapurna,Maharajgunj,5,6.5,404,23747,FALSE,TRUE,TRUE,TRUE,4.53,18,475,0.43,3,23750
H12813,Hotel Durbar,Maharajgunj,2,7.8,952,21951,FALSE,TRUE,TRUE,TRUE,7.6,39,85,0.05,3,1530
H12814,Hotel Annapurna,Kirtipur,5,7.9,267,15171,FALSE,TRUE,TRUE,TRUE,5.52,15,297,0.33,3,14850
H12815,Hotel Kathmandu,Jamal,2,6.5,1231,16323,FALSE,TRUE,TRUE,TRUE,6.37,31,184,0.49,3,10672
H12816,Hotel Himalaya,Thamel,2,6.7,62,20908,FALSE,TRUE,TRUE,FALSE,11.79,5,268,0.43,2,8844
H12817,Hotel Boutique,Bhaktapur,2,8.7,660,7751,FALSE,TRUE,TRUE,TRUE,0.62,50,421,0.04,3,5473
H12818,Hotel Himalaya,Teku,2,7.8,280,10717,FALSE,TRUE,TRUE,TRUE,7.81,9,131,0.46,3,6026
H12819,Hotel Sagarmatha,Bhaktapur,2,5.7,210,16411,FALSE,TRUE,TRUE,TRUE,11.08,58,126,0.09,3,6804
H12820,Hotel Valley,Baneshwor,4,9,405,7237,FALSE,TRUE,TRUE,FALSE,2.91,44,423,0.05,2,13959
H12821,Hotel Everest,Teku,5,9.2,387,10791,FALSE,TRUE,TRUE,TRUE,2.62,15,157,0.12,3,3611
H12822,Hotel Everest,Swayambhu,4,7.2,1924,10236,TRUE,TRUE,FALSE,TRUE,4.42,1,195,0.25,2,3315
H12823,Hotel Everest,Boudha,4,6,685,11345,FALSE,TRUE,TRUE,TRUE,0.98,7,300,0.41,3,17400
H12824,Hotel Sagarmatha,Boudha,1,9.5,1637,15159,FALSE,TRUE,TRUE,TRUE,6.77,40,57,0.14,3,2052
H12825,Hotel Everest,Gongabu,1,9.2,544,6319,FALSE,TRUE,TRUE,FALSE,7.78,38,311,0.2,2,15861
H12826,Hotel Heritage,Lazimpat,1,6.2,932,19251,FALSE,TRUE,TRUE,TRUE,9.86,4,500,0.08,3,19500
H12827,Hotel Durbar,Durbar Marg,3,5.5,1121,2375,FALSE,TRUE,TRUE,TRUE,0.89,29,583,0.15,3,34397
H12828,Hotel Royal,Baneshwor,1,7.1,407,9130,FALSE,TRUE,TRUE,TRUE,5.29,7,326,0.45,3,7498
H12829,Hotel Annapurna,Boudha,5,8.2,1215,22785,FALSE,TRUE,TRUE,TRUE,9.43,28,386,0.34,3,18914
H12830,Hotel Annapurna,Baluwatar,4,5.8,876,7992,FALSE,TRUE,TRUE,TRUE,9.24,2,245,0.34,3,12005
H12831,Hotel Everest,Koteshwor,5,7.5,1316,14850,TRUE,TRUE,TRUE,TRUE,0.98,12,242,0.13,3,6534
H12832,Hotel Valley,Jamal,1,7,1566,20700,TRUE,TRUE,FALSE,TRUE,0.24,51,357,0.08,2,7854
H12833,Hotel Royal,Bhaktapur,3,9.3,570,14235,FALSE,TRUE,TRUE,TRUE,9.42,26,445,0.44,3,16910
H12834,Hotel Sagarmatha,Koteshwor,3,7.1,199,18982,FALSE,TRUE,TRUE,TRUE,1.74,50,126,0.47,3,4662
H12835,Hotel Durbar,Thamel,4,7.6,214,5949,FALSE,TRUE,TRUE,TRUE,6.98,11,99,0.04,3,5643
H12836,Hotel Sagarmatha,Boudha,5,9.6,977,7572,FALSE,TRUE,TRUE,FALSE,1.22,50,66,0.27,2,3894
H12837,Hotel Royal,Swayambhu,2,6.4,53,14730,FALSE,FALSE,FALSE,TRUE,3.62,39,98,0.23,1,1274
H12838,Hotel Durbar,Bhaktapur,5,6.4,1013,13589,TRUE,TRUE,TRUE,TRUE,1.98,50,273,0.37,3,9828
H12839,Hotel Kathmandu,Baneshwor,1,8.8,1333,18022,FALSE,TRUE,TRUE,TRUE,8.86,5,78,0.16,3,3510
H12840,Hotel Himalaya,Baneshwor,2,6.3,1028,5166,FALSE,TRUE,TRUE,TRUE,8.11,38,369,0.31,3,12177
H12841,Hotel Boutique,Durbar Marg,3,9,649,11114,FALSE,TRUE,FALSE,TRUE,1.71,48,407,0.05,2,13431
H12842,Hotel Durbar,Bhaktapur,4,5.5,1003,1645,FALSE,TRUE,TRUE,TRUE,0.81,14,561,0.41,3,6732
H12843,Hotel Himalaya,Kalanki,4,5.5,710,6884,TRUE,TRUE,TRUE,TRUE,5.65,45,95,0.13,3,5130
H12844,Hotel Valley,Swayambhu,3,9.3,1715,24052,TRUE,TRUE,TRUE,TRUE,2.43,46,561,0.16,3,15708
H12845,Hotel Everest,Maharajgunj,1,7.6,1312,13461,FALSE,TRUE,TRUE,TRUE,0.2,58,322,0.2,3,15456
H12846,Hotel Annapurna,Durbar Marg,3,8.5,722,17473,FALSE,TRUE,FALSE,TRUE,3.24,7,440,0.11,2,25520
H12847,Hotel Sagarmatha,Kalanki,1,6.1,1418,15703,FALSE,TRUE,TRUE,TRUE,2.66,39,433,0.41,3,7794
H12848,Hotel Valley,Boudha,2,5.8,646,16136,TRUE,TRUE,TRUE,TRUE,8.25,58,515,0.04,3,15965
H12849,Hotel Everest,Sankhamul,3,9,813,12470,TRUE,FALSE,TRUE,TRUE,10.34,51,164,0.47,2,5084
H12850,Hotel Royal,Baluwatar,1,6.7,320,16421,FALSE,TRUE,TRUE,TRUE,2.93,23,281,0.47,3,7025
H12851,Hotel Himalaya,Thamel,2,7.2,887,1550,FALSE,TRUE,FALSE,TRUE,2.75,31,165,0.42,2,2805
H12852,Hotel Heritage,Chabahil,3,5.1,1561,6224,FALSE,FALSE,TRUE,FALSE,4.71,30,571,0.48,1,14846
H12853,Hotel Kathmandu,Bhaktapur,4,6.9,866,14550,TRUE,TRUE,TRUE,FALSE,2.15,37,384,0.38,2,21888
H12854,Hotel Kathmandu,Baluwatar,3,8.7,283,6581,FALSE,TRUE,TRUE,TRUE,11.37,54,255,0.29,3,11730
H12855,Hotel Durbar,Patan,5,8.9,1515,21562,FALSE,TRUE,FALSE,TRUE,3,2,596,0.36,2,21456
H12856,Hotel Himalaya,Chabahil,3,8.4,1839,10435,TRUE,TRUE,TRUE,TRUE,1.21,47,7,0.01,3,308
H12857,Hotel Valley,Sankhamul,5,8.3,1484,4479,FALSE,TRUE,TRUE,TRUE,6.73,34,91,0.35,3,4004
H12858,Hotel Heritage,Jamal,2,7.4,1565,10137,TRUE,TRUE,TRUE,TRUE,6.5,12,443,0.03,3,10189
H12859,Hotel Everest,Swayambhu,3,7.6,540,7091,TRUE,TRUE,TRUE,FALSE,7.62,58,14,0.44,2,728
H12860,Hotel Durbar,Chabahil,2,8.6,1558,3633,FALSE,TRUE,TRUE,TRUE,11.6,57,548,0.45,3,27400
H12861,Hotel Sagarmatha,Jamal,2,6.2,26,7790,FALSE,TRUE,FALSE,TRUE,3.95,46,240,0.07,2,7440
H12862,Hotel Kathmandu,Koteshwor,1,6.1,727,4501,FALSE,TRUE,TRUE,FALSE,4.38,41,337,0.34,2,10447
H12863,Hotel Boutique,Kalanki,2,9.6,1063,1889,FALSE,TRUE,TRUE,TRUE,4.11,40,471,0.34,3,9420
H12864,Hotel Kathmandu,Patan,2,5.1,479,9765,FALSE,TRUE,TRUE,TRUE,7.58,57,299,0.25,3,12259
H12865,Hotel Boutique,Jamal,3,5.7,820,24630,TRUE,TRUE,FALSE,TRUE,7.29,14,13,0.02,2,468
H12866,Hotel Sagarmatha,Boudha,3,7.7,1337,15197,TRUE,TRUE,TRUE,TRUE,6.39,25,272,0.07,3,7888
H12867,Hotel Heritage,Gongabu,4,8.5,564,5160,FALSE,TRUE,TRUE,TRUE,4.44,11,10,0.33,3,550
H12868,Hotel Durbar,Boudha,1,7.6,102,11156,TRUE,TRUE,TRUE,FALSE,5.19,59,574,0.27,2,24682
H12869,Hotel Boutique,Jamal,2,6.7,891,5051,FALSE,TRUE,TRUE,TRUE,9.53,24,472,0.03,3,13216
H12870,Hotel Heritage,Gongabu,1,9.7,587,19614,FALSE,TRUE,TRUE,TRUE,7.35,27,110,0.26,3,2090
H12871,Hotel Sagarmatha,Baneshwor,5,8.4,640,22569,TRUE,TRUE,TRUE,TRUE,8.62,18,432,0.43,3,9504
